"Rank","Name","Tm","Vote Pts","1st Place","Share","WAR","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","W","L","ERA","WHIP","G","GS","SV","IP","H","HR","BB","SO","Year"
"1","Ty Cobb","DET","64.0","8.0","100%","10.7","146","592","148","248","8","127","83","44",".419",".466",".620","1.086","0","0","0","0","0","0","0","0","0","0","0","0",1911
"2","Ed Walsh","CHW","35.0","0.0","55%","9.1","63","155","22","34","0","9","0","1",".219",".229",".239",".468","27","18","2.22","1.082","56","37","4","368.2","327","4","72","255",1911
"3","Eddie Collins","PHA","32.0","0.0","50%","6.6","132","493","92","180","3","73","38","62",".365",".451",".481",".932","0","0","0","0","0","0","0","0","0","0","0","0",1911
"4","Shoeless Joe Jackson","CLE","28.0","0.0","44%","9.2","147","571","126","233","7","83","41","56",".408",".468",".590","1.058","0","0","0","0","0","0","0","0","0","0","0","0",1911
"5","Walter Johnson","WSH","19.0","0.0","30%","8.8","42","128","18","30","1","15","1","0",".234",".234",".344",".578","25","13","1.90","1.123","40","37","1","322.1","292","8","70","207",1911
"6","Birdie Cree","NYY","16.0","0.0","25%","5.5","137","520","90","181","4","88","48","56",".348",".415",".513",".928","0","0","0","0","0","0","0","0","0","0","0","0",1911
"6","Tris Speaker","BOS","16.0","0.0","25%","6.2","141","500","88","167","8","70","25","59",".334",".418",".502",".920","0","0","0","0","0","0","0","0","0","0","0","0",1911
"8","Ira Thomas","PHA","12.0","0.0","19%","3.1","103","297","33","81","0","39","4","23",".273",".341",".340",".682","0","0","0","0","0","0","0","0","0","0","0","0",1911
"9","Clyde Milan","WSH","10.0","0.0","16%","4.9","154","616","109","194","3","35","58","74",".315",".395",".394",".789","0","0","0","0","0","0","0","0","0","0","0","0",1911
"10","Vean Gregg","CLE","9.0","0.0","14%","8.5","34","85","5","14","0","4","0","2",".165",".184",".188",".372","23","7","1.80","1.054","34","26","0","244.2","172","2","86","125",1911
"11","Home Run Baker","PHA","8.0","0.0","13%","6.4","148","592","96","198","11","115","38","40",".334",".379",".508",".887","0","0","0","0","0","0","0","0","0","0","0","0",1911
"12","Jack Coombs","PHA","6.0","0.0","9%","3.8","52","141","31","45","2","23","5","8",".319",".356",".418",".774","28","12","3.53","1.423","47","40","2","336.2","360","8","119","185",1911
"13","Nap Lajoie","CLE","5.0","0.0","8%","2.7","90","315","36","115","2","60","13","26",".365",".420",".454",".874","0","0","0","0","0","0","0","0","0","0","0","0",1911
"14","Donie Bush","DET","4.0","0.0","6%","1.7","150","561","126","130","1","36","40","98",".232",".349",".287",".636","0","0","0","0","0","0","0","0","0","0","0","0",1911
"14","Sam Crawford","DET","4.0","0.0","6%","5.7","146","574","109","217","7","115","37","61",".378",".438",".526",".964","0","0","0","0","0","0","0","0","0","0","0","0",1911
"14","John Knight","NYY","4.0","0.0","6%","0.8","132","470","69","126","3","62","18","42",".268",".342",".351",".693","0","0","0","0","0","0","0","0","0","0","0","0",1911
"14","Bris Lord","PHA","4.0","0.0","6%","3.8","134","574","92","178","3","55","15","35",".310",".355",".429",".784","0","0","0","0","0","0","0","0","0","0","0","0",1911
"18","Jack Barry","PHA","3.0","0.0","5%","2.8","127","442","73","117","1","63","30","38",".265",".333",".344",".677","0","0","0","0","0","0","0","0","0","0","0","0",1911
"18","Russ Ford","NYY","3.0","0.0","5%","7.3","37","102","10","20","0","8","2","3",".196",".219",".235",".454","22","11","2.27","1.162","37","33","0","281.1","251","3","76","158",1911
"20","Jimmy Austin","SLB","2.0","0.0","3%","3.5","148","541","84","141","2","45","26","69",".261",".351",".359",".709","0","0","0","0","0","0","0","0","0","0","0","0",1911
"20","Frank LaPorte","SLB","2.0","0.0","3%","3.8","136","507","71","159","2","82","4","34",".314",".361",".446",".807","0","0","0","0","0","0","0","0","0","0","0","0",1911
"22","George McBride","WSH","1.0","0.0","2%","1.6","154","557","58","131","0","59","15","52",".235",".312",".269",".581","0","0","0","0","0","0","0","0","0","0","0","0",1911
"22","Stuffy McInnis","PHA","1.0","0.0","2%","2.2","126","468","76","150","3","77","23","25",".321",".361",".425",".787","0","0","0","0","0","0","0","0","0","0","0","0",1911
"1","Tris Speaker","BOS","59.0","0","92%","10.1","153","580","136","222","10","90","52","82",".383",".464",".567","1.031","0","0","0","0","0","0","0","0","0","0","0","0",1912
"2","Ed Walsh","CHW","30.0","0","47%","12.1","62","136","12","33","0","12","0","14",".243",".313",".287",".600","27","17","2.15","1.084","62","41","10","393.0","332","6","94","254",1912
"3","Walter Johnson","WSH","28.0","0","44%","14.3","55","144","16","38","2","20","2","7",".264",".298",".403",".701","33","12","1.39","0.908","50","37","2","369.0","259","2","76","303",1912
"4","Clyde Milan","WSH","23.0","0","36%","5.4","154","601","105","184","1","79","88","63",".306",".377",".379",".756","0","0","0","0","0","0","0","0","0","0","0","0",1912
"5","Smoky Joe Wood","BOS","22.0","0","34%","11.4","43","124","16","36","1","13","0","11",".290",".348",".435",".784","34","5","1.91","1.015","43","38","1","344.0","267","2","82","258",1912
"6","Eddie Collins","PHA","18.0","0","28%","8.8","153","543","137","189","0","64","63","101",".348",".450",".435",".885","0","0","0","0","0","0","0","0","0","0","0","0",1912
"7","Home Run Baker","PHA","17.0","0","27%","9.3","149","577","116","200","10","130","40","50",".347",".404",".541",".945","0","0","0","0","0","0","0","0","0","0","0","0",1912
"7","Ty Cobb","DET","17.0","0","27%","9.2","140","553","119","226","7","83","61","43",".409",".456",".584","1.040","0","0","0","0","0","0","0","0","0","0","0","0",1912
"9","Shoeless Joe Jackson","CLE","16.0","0","25%","9.5","154","572","121","226","3","90","35","54",".395",".458",".579","1.036","0","0","0","0","0","0","0","0","0","0","0","0",1912
"10","Heinie Wagner","BOS","12.0","0","19%","2.9","144","504","75","138","2","68","21","62",".274",".358",".359",".717","0","0","0","0","0","0","0","0","0","0","0","0",1912
"11","Chick Gandil","WSH","7.0","0.0","11%","2.7","117","443","59","135","2","81","19","27",".305",".350",".431",".781","0","0","0","0","0","0","0","0","0","0","0","0",1912
"12","Burt Shotton","SLB","6.0","0.0","9%","3.9","154","580","87","168","2","40","35","86",".290",".390",".353",".743","0","0","0","0","0","0","0","0","0","0","0","0",1912
"13","Del Pratt","SLB","5.0","0.0","8%","3.6","152","570","76","172","5","69","24","36",".302",".348",".426",".774","0","0","0","0","0","0","0","0","0","0","0","0",1912
"14","Jack Barry","PHA","4.0","0.0","6%","4.1","140","483","75","126","0","55","22","47",".261",".335",".337",".673","0","0","0","0","0","0","0","0","0","0","0","0",1912
"14","Sam Crawford","DET","4.0","0.0","6%","4.7","149","581","81","189","4","109","42","42",".325",".373",".470",".843","0","0","0","0","0","0","0","0","0","0","0","0",1912
"14","Eddie Foster","WSH","4.0","0.0","6%","5.4","154","618","98","176","2","70","27","53",".285",".345",".379",".724","0","0","0","0","0","0","0","0","0","0","0","0",1912
"14","Larry Gardner","BOS","4.0","0.0","6%","5.8","143","517","88","163","3","86","25","56",".315",".383",".449",".832","0","0","0","0","0","0","0","0","0","0","0","0",1912
"18","Bill Carrigan","BOS","3.0","0.0","5%","1.4","87","266","34","70","0","24","7","38",".263",".359",".297",".656","0","0","0","0","0","0","0","0","0","0","0","0",1912
"18","George Moriarty","DET","3.0","0.0","5%","1.0","105","375","38","93","0","54","30","26",".248",".316",".315",".630","0","0","0","0","0","0","0","0","0","0","0","0",1912
"20","Joe Birmingham","CLE","2.0","0.0","3%","-0.2","107","369","49","94","1","45","15","26",".255",".311",".331",".641","0","0","0","0","0","0","0","0","0","0","0","0",1912
"21","Bert Daniels","NYY","1.0","0.0","2%","2.7","135","496","72","136","2","41","37","51",".274",".363",".381",".744","0","0","0","0","0","0","0","0","0","0","0","0",1912
"21","George McBride","WSH","1.0","0.0","2%","2.6","152","521","56","118","1","52","17","38",".226",".288",".284",".572","0","0","0","0","0","0","0","0","0","0","0","0",1912
"21","Stuffy McInnis","PHA","1.0","0.0","2%","5.7","153","568","83","186","3","101","27","49",".327",".384",".433",".817","0","0","0","0","0","0","0","0","0","0","0","0",1912
"21","Danny Moeller","WSH","1.0","0.0","2%","3.3","132","519","90","143","6","46","30","52",".276",".346",".399",".745","0","0","0","0","0","0","0","0","0","0","0","0",1912
"1","Walter Johnson","WSH","54.0","0","84%","16.5","55","134","12","35","2","14","2","5",".261",".293",".433",".726","36","7","1.14","0.780","48","36","2","346.0","232","9","38","243",1913
"2","Shoeless Joe Jackson","CLE","43.0","0","67%","7.6","148","528","109","197","7","71","26","80",".373",".460",".551","1.011","0","0","0","0","0","0","0","0","0","0","0","0",1913
"3","Eddie Collins","PHA","30.0","0","47%","9.0","148","534","125","184","3","73","55","85",".345",".441",".453",".894","0","0","0","0","0","0","0","0","0","0","0","0",1913
"4","Tris Speaker","BOS","26.0","0","41%","8.4","141","520","94","189","3","71","46","65",".363",".441",".533",".974","0","0","0","0","0","0","0","0","0","0","0","0",1913
"5","Home Run Baker","PHA","21.0","0","33%","7.9","149","564","116","190","12","117","34","63",".337",".413",".493",".906","0","0","0","0","0","0","0","0","0","0","0","0",1913
"6","Chick Gandil","WSH","14.0","0","22%","3.9","148","550","61","175","1","72","22","36",".318",".363",".398",".762","0","0","0","0","0","0","0","0","0","0","0","0",1913
"7","Stuffy McInnis","PHA","12.0","0","19%","5.4","148","543","79","176","4","90","16","45",".324",".382",".416",".798","0","0","0","0","0","0","0","0","0","0","0","0",1913
"8","Wally Schang","PHA","11.0","0","17%","2.8","79","207","32","55","3","30","4","34",".266",".392",".415",".807","0","0","0","0","0","0","0","0","0","0","0","0",1913
"9","Jack Barry","PHA","8.0","0","13%","4.8","134","455","62","125","3","85","15","44",".275",".349",".365",".714","0","0","0","0","0","0","0","0","0","0","0","0",1913
"9","Clyde Milan","WSH","8.0","0.0","13%","4.3","154","579","92","174","3","54","75","58",".301",".367",".378",".745","0","0","0","0","0","0","0","0","0","0","0","0",1913
"11","Nap Lajoie","CLE","7.0","0.0","11%","5.3","137","465","66","156","1","68","17","33",".335",".398",".404",".802","0","0","0","0","0","0","0","0","0","0","0","0",1913
"12","Donie Bush","DET","6.0","0.0","9%","3.6","152","597","98","150","1","40","44","80",".251",".344",".322",".665","0","0","0","0","0","0","0","0","0","0","0","0",1913
"12","Heinie Wagner","BOS","6.0","0.0","9%","0.3","110","365","43","83","2","34","9","40",".227",".316",".326",".642","0","0","0","0","0","0","0","0","0","0","0","0",1913
"14","Sam Crawford","DET","5.0","0.0","8%","5.2","153","609","78","193","9","83","13","52",".317",".371",".489",".860","0","0","0","0","0","0","0","0","0","0","0","0",1913
"14","George McBride","WSH","5.0","0.0","8%","3.4","150","499","52","107","1","52","12","43",".214",".286",".285",".571","0","0","0","0","0","0","0","0","0","0","0","0",1913
"14","Reb Russell","CHW","5.0","0.0","8%","9.2","54","106","9","20","1","7","0","1",".189",".204",".321",".524","22","16","1.90","1.039","52","36","4","316.2","250","2","79","122",1913
"14","Jim Scott","CHW","5.0","0.0","8%","6.8","48","97","3","7","1","8","2","3",".072",".109",".113",".222","20","21","1.90","1.082","48","38","1","312.1","252","2","86","158",1913
"14","Burt Shotton","SLB","5.0","0.0","8%","4.9","147","549","105","163","1","28","43","99",".297",".405",".373",".779","0","0","0","0","0","0","0","0","0","0","0","0",1913
"14","George Stovall","SLB","5.0","0.0","8%","1.3","89","303","34","87","1","24","7","7",".287",".305",".363",".669","0","0","0","0","0","0","0","0","0","0","0","0",1913
"20","Ty Cobb","DET","3.0","0.0","5%","7.4","122","429","70","167","4","67","51","58",".389",".466",".534","1.000","0","0","0","0","0","0","0","0","0","0","0","0",1913
"20","Ray Schalk","CHW","3.0","0.0","5%","1.8","129","401","38","98","1","38","14","27",".244",".297",".314",".611","0","0","0","0","0","0","0","0","0","0","0","0",1913
"22","Charles Bender","PHA","2.0","0.0","3%","3.5","48","78","7","12","0","10","1","6",".154",".214",".218",".432","21","10","2.21","1.128","48","21","13","236.2","208","2","59","135",1913
"22","Terry Turner","CLE","2.0","0.0","3%","2.3","120","388","60","96","0","44","13","55",".247",".348",".302",".650","0","0","0","0","0","0","0","0","0","0","0","0",1913
"24","Harry Hooper","BOS","1.0","0.0","2%","3.1","148","586","100","169","4","40","26","60",".288",".359",".399",".759","0","0","0.00","1.500","1","0","0","2.0","2","0","1","0",1913
"24","Steve O'Neill","CLE","1.0","0.0","2%","1.8","80","234","19","69","0","29","5","10",".295",".329",".376",".705","0","0","0","0","0","0","0","0","0","0","0","0",1913
"1","Eddie Collins","PHA","63.0","7.0","98%","9.1","152","526","122","181","2","85","58","97",".344",".452",".452",".904","0","0","0","0","0","0","0","0","0","0","0","0",1914
"2","Sam Crawford","DET","35.0","0","55%","6.2","157","582","74","183","8","104","25","69",".314",".388",".483",".871","0","0","0","0","0","0","0","0","0","0","0","0",1914
"3","Home Run Baker","PHA","17.0","0","27%","7.4","150","570","84","182","9","89","19","53",".319",".380",".442",".822","0","0","0","0","0","0","0","0","0","0","0","0",1914
"3","Donie Bush","DET","17.0","0","27%","5.6","157","596","97","150","0","32","35","112",".252",".373",".295",".668","0","0","0","0","0","0","0","0","0","0","0","0",1914
"5","Shoeless Joe Jackson","CLE","15.0","0","23%","4.6","122","453","61","153","3","53","22","41",".338",".399",".464",".862","0","0","0","0","0","0","0","0","0","0","0","0",1914
"6","Ray Schalk","CHW","13.0","0","20%","4.2","136","392","30","106","0","36","24","38",".270",".347",".314",".661","0","0","0","0","0","0","0","0","0","0","0","0",1914
"7","Eddie Foster","WSH","11.0","0","17%","3.3","157","616","82","174","2","50","31","60",".282",".348",".351",".699","0","0","0","0","0","0","0","0","0","0","0","0",1914
"7","Stuffy McInnis","PHA","11.0","0","17%","3.8","149","576","74","181","1","95","25","19",".314",".341",".368",".709","0","0","0","0","0","0","0","0","0","0","0","0",1914
"7","Buck Weaver","CHW","11.0","0","17%","1.2","136","541","64","133","2","28","14","20",".246",".279",".327",".606","0","0","0","0","0","0","0","0","0","0","0","0",1914
"10","Del Pratt","SLB","10.0","0","16%","4.6","158","584","85","165","5","65","37","50",".283",".341",".411",".752","0","0","0","0","0","0","0","0","0","0","0","0",1914
"10","Wally Schang","PHA","10.0","0","16%","4.3","107","307","44","88","3","45","7","32",".287",".371",".404",".775","0","0","0","0","0","0","0","0","0","0","0","0",1914
"12","Tris Speaker","BOS","9.0","0","14%","9.9","158","571","101","193","4","90","42","77",".338",".423",".503",".926","0","0","9.00","2.000","1","0","0","1.0","2","0","0","0",1914
"12","Tillie Walker","SLB","9.0","0","14%","5.8","151","517","67","154","6","78","29","51",".298",".365",".441",".806","0","0","0","0","0","0","0","0","0","0","0","0",1914
"14","Ty Cobb","DET","7.0","0.0","11%","5.6","98","345","69","127","2","57","35","57",".368",".466",".513",".979","0","0","0","0","0","0","0","0","0","0","0","0",1914
"14","Everett Scott","BOS","7.0","0.0","11%","2.5","144","539","66","129","2","37","9","32",".239",".286",".301",".586","0","0","0","0","0","0","0","0","0","0","0","0",1914
"16","Jack Barry","PHA","6.0","0.0","9%","4.3","140","467","57","113","0","42","22","53",".242",".324",".268",".592","0","0","0","0","0","0","0","0","0","0","0","0",1914
"16","Dutch Leonard","BOS","6.0","0.0","9%","9.3","36","68","3","10","0","4","0","4",".147",".194",".162",".356","19","5","0.96","0.886","36","25","3","224.2","139","3","60","176",1914
"18","George McBride","WSH","5.0","0.0","8%","1.9","157","503","49","102","0","24","12","43",".203",".274",".243",".516","0","0","0","0","0","0","0","0","0","0","0","0",1914
"18","Eddie Plank","PHA","5.0","0.0","8%","2.0","34","60","6","9","0","5","1","4",".150",".203",".183",".386","15","7","2.87","1.187","34","22","3","185.1","178","2","42","110",1914
"20","Harry Hooper","BOS","4.0","0.0","6%","3.6","142","530","85","137","1","41","19","58",".258",".336",".364",".700","0","0","0","0","0","0","0","0","0","0","0","0",1914
"20","Duffy Lewis","BOS","4.0","0.0","6%","3.1","146","510","53","142","2","79","22","57",".278",".357",".398",".755","0","0","0","0","0","0","0","0","0","0","0","0",1914
"22","Fritz Maisel","NYY","3.0","0.0","5%","3.6","150","548","78","131","2","47","74","76",".239",".334",".325",".659","0","0","0","0","0","0","0","0","0","0","0","0",1914
"23","Sam Agnew","SLB","2.0","0.0","3%","0.9","115","311","22","66","0","16","10","24",".212",".279",".254",".533","0","0","0","0","0","0","0","0","0","0","0","0",1914
"23","Roy Hartzell","NYY","2.0","0.0","3%","1.5","137","481","55","112","1","32","22","68",".233",".335",".308",".643","0","0","0","0","0","0","0","0","0","0","0","0",1914
"23","Clyde Milan","WSH","2.0","0.0","3%","2.6","115","437","63","129","1","39","38","32",".295",".346",".396",".742","0","0","0","0","0","0","0","0","0","0","0","0",1914
"23","Roger Peckinpaugh","NYY","2.0","0.0","3%","3.2","157","570","55","127","3","51","38","51",".223",".288",".284",".572","0","0","0","0","0","0","0","0","0","0","0","0",1914
"27","Eddie Cicotte","CHW","1.0","0.0","2%","3.7","45","86","5","14","0","4","0","3",".163",".191",".186",".377","11","16","2.04","1.084","45","30","3","269.1","220","0","72","122",1914
"27","George Moriarty","DET","1.0","0.0","2%","4.5","132","465","56","118","1","40","34","39",".254",".318",".323",".641","0","0","0","0","0","0","0","0","0","0","0","0",1914
"1","George Sisler","SLB","59.0","0","92%","8.7","142","586","134","246","8","105","51","49",".420",".467",".594","1.061","0","0","0","0","0","0","0","0","0","0","0","0",1922
"2","Eddie Rommel","PHA","31.0","0","48%","7.2","51","94","3","17","0","7","0","3",".181",".206",".213",".419","27","13","3.28","1.214","51","33","2","294.0","294","21","63","54",1922
"3","Ray Schalk","CHW","26.0","0","41%","3.8","142","442","57","124","4","60","12","67",".281",".379",".371",".750","0","0","0","0","0","0","0","0","0","0","0","0",1922
"4","Bullet Joe Bush","NYY","19.0","0","30%","5.0","39","95","15","31","0","12","0","3",".326",".347",".432",".779","26","7","3.31","1.273","39","30","3","255.1","240","16","85","92",1922
"5","Eddie Collins","CHW","18.0","0","28%","3.9","154","598","92","194","1","69","20","73",".324",".401",".403",".804","0","0","0","0","0","0","0","0","0","0","0","0",1922
"6","Johnny Bassler","DET","13.0","0","20%","3.0","121","372","41","120","0","41","2","62",".323",".422",".360",".782","0","0","0","0","0","0","0","0","0","0","0","0",1922
"6","Steve O'Neill","CLE","13.0","0","20%","2.8","133","392","33","122","2","65","2","73",".311",".423",".416",".839","0","0","0","0","0","0","0","0","0","0","0","0",1922
"8","Joe Judge","WSH","12.0","0","19%","2.2","148","591","84","174","10","81","5","50",".294",".355",".450",".806","0","0","0","0","0","0","0","0","0","0","0","0",1922
"8","Wally Pipp","NYY","12.0","0","19%","4.5","152","577","96","190","9","94","7","56",".329",".392",".466",".859","0","0","0","0","0","0","0","0","0","0","0","0",1922
"10","Lu Blue","DET","11.0","0","17%","3.7","145","584","131","175","6","45","8","82",".300",".392",".414",".807","0","0","0","0","0","0","0","0","0","0","0","0",1922
"11","Chick Galloway","PHA","10.0","0","16%","2.7","155","571","83","185","6","69","10","39",".324",".368",".433",".801","0","0","0","0","0","0","0","0","0","0","0","0",1922
"12","Harry Heilmann","DET","8.0","0","13%","5.4","118","455","92","162","21","92","8","58",".356",".432",".598","1.030","0","0","0","0","0","0","0","0","0","0","0","0",1922
"13","Del Pratt","BOS","7.0","0.0","11%","3.0","154","607","73","183","6","86","7","53",".301",".361",".427",".788","0","0","0","0","0","0","0","0","0","0","0","0",1922
"13","Wally Schang","NYY","7.0","0.0","11%","4.2","124","408","46","130","1","52","12","53",".319",".405",".412",".816","0","0","0","0","0","0","0","0","0","0","0","0",1922
"15","Bob Meusel","NYY","6.0","0.0","9%","3.2","121","473","61","151","16","88","13","40",".319",".376",".522",".898","0","0","0","0","0","0","0","0","0","0","0","0",1922
"15","Everett Scott","NYY","6.0","0.0","9%","2.4","154","557","64","150","3","50","2","23",".269",".304",".345",".649","0","0","0","0","0","0","0","0","0","0","0","0",1922
"17","Walter Johnson","WSH","5.0","0.0","8%","5.4","43","108","8","22","1","15","0","2",".204",".218",".259",".477","15","16","2.99","1.364","41","31","4","280.0","283","8","99","105",1922
"17","Urban Shocker","SLB","5.0","0.0","8%","7.4","48","115","14","22","1","6","1","14",".191",".279",".261",".540","24","17","2.97","1.213","48","38","3","348.0","365","22","57","149",1922
"19","Charlie Jamieson","CLE","4.0","0.0","6%","2.8","145","567","87","183","3","57","15","54",".323",".388",".429",".816","0","0","3.18","1.941","2","0","0","5.2","7","0","4","2",1922
"19","Joe Sewell","CLE","4.0","0.0","6%","2.8","153","558","80","167","2","83","10","73",".299",".386",".385",".771","0","0","0","0","0","0","0","0","0","0","0","0",1922
"21","George Burns","BOS","2.0","0.0","3%","2.4","147","558","71","171","12","73","8","20",".306",".341",".446",".787","0","0","0","0","0","0","0","0","0","0","0","0",1922
"21","Jimmy Dykes","PHA","2.0","0.0","3%","2.6","145","501","66","138","12","68","6","55",".275",".359",".421",".780","0","0","0","0","0","0","0","0","0","0","0","0",1922
"21","Bucky Harris","WSH","2.0","0.0","3%","2.2","154","602","95","162","2","40","25","52",".269",".341",".346",".687","0","0","0","0","0","0","0","0","0","0","0","0",1922
"21","Roger Peckinpaugh","WSH","2.0","0.0","3%","2.4","147","520","62","132","2","48","11","55",".254",".329",".308",".636","0","0","0","0","0","0","0","0","0","0","0","0",1922
"21","Bill Wambsganss","CLE","2.0","0.0","3%","-0.4","142","538","89","141","0","47","17","60",".262",".341",".325",".666","0","0","0","0","0","0","0","0","0","0","0","0",1922
"26","George Cutshaw","DET","1.0","0.0","2%","-0.2","132","499","57","133","2","61","11","20",".267",".300",".339",".639","0","0","0","0","0","0","0","0","0","0","0","0",1922
"26","Cy Perkins","PHA","1.0","0.0","2%","1.1","148","505","58","135","6","69","1","40",".267",".322",".366",".689","0","0","0","0","0","0","0","0","0","0","0","0",1922
"1","Babe Ruth","NYY","64.0","8.0","100%","14.2","152","522","151","205","41","130","17","170",".393",".545",".764","1.309","0","0","0","0","0","0","0","0","0","0","0","0",1923
"2","Eddie Collins","CHW","37.0","0.0","58%","6.4","145","505","89","182","5","67","48","84",".360",".455",".453",".909","0","0","0","0","0","0","0","0","0","0","0","0",1923
"3","Harry Heilmann","DET","31.0","0.0","48%","9.3","144","524","121","211","18","115","9","74",".403",".481",".632","1.113","0","0","0","0","0","0","0","0","0","0","0","0",1923
"4","Wally Gerber","SLB","20.0","0.0","31%","1.7","154","605","85","170","1","62","4","54",".281",".342",".339",".681","0","0","0","0","0","0","0","0","0","0","0","0",1923
"4","Joe Sewell","CLE","20.0","0.0","31%","7.5","153","553","98","195","3","109","9","98",".353",".456",".479",".935","0","0","0","0","0","0","0","0","0","0","0","0",1923
"6","Charlie Jamieson","CLE","19.0","0.0","30%","5.3","152","644","130","222","2","51","18","80",".345",".422",".447",".869","0","0","0","0","0","0","0","0","0","0","0","0",1923
"7","Johnny Bassler","DET","17.0","0.0","27%","4.9","135","383","45","114","0","49","2","76",".298",".414",".345",".759","0","0","0","0","0","0","0","0","0","0","0","0",1923
"8","Chick Galloway","PHA","13.0","0.0","20%","0.9","134","504","64","140","2","62","12","37",".278",".327",".361",".688","0","0","0","0","0","0","0","0","0","0","0","0",1923
"8","George Uhle","CLE","13.0","0.0","20%","7.8","58","144","23","52","0","22","2","7",".361",".391",".472",".863","26","16","3.77","1.342","54","44","5","357.2","378","8","102","109",1923
"10","George Burns","BOS","8.0","0.0","13%","4.2","146","551","91","181","7","82","9","45",".328",".386",".470",".856","0","0","0","0","0","0","0","0","0","0","0","0",1923
"11","Howard Ehmke","BOS","7.0","0.0","11%","6.1","43","112","4","25","0","7","0","2",".223",".237",".250",".487","20","17","3.78","1.380","43","39","3","316.2","318","12","119","121",1923
"11","Muddy Ruel","WSH","7.0","0.0","11%","4.7","136","449","63","142","0","54","4","55",".316",".394",".383",".778","0","0","0","0","0","0","0","0","0","0","0","0",1923
"13","Roger Peckinpaugh","WSH","6.0","0.0","9%","2.9","154","568","73","150","2","62","10","64",".264",".340",".320",".660","0","0","0","0","0","0","0","0","0","0","0","0",1923
"14","Urban Shocker","SLB","5.0","0.0","8%","6.5","43","80","9","16","0","6","0","16",".200",".333",".213",".546","20","12","3.41","1.230","43","35","5","277.1","292","12","49","109",1923
"15","Joe Judge","WSH","4.0","0.0","6%","3.3","113","405","56","127","2","63","11","58",".314",".406",".417",".823","0","0","0","0","0","0","0","0","0","0","0","0",1923
"15","Marty McManus","SLB","4.0","0.0","6%","3.6","154","582","86","180","15","94","14","49",".309",".367",".481",".848","0","0","0","0","0","0","0","0","0","0","0","0",1923
"15","Ken Williams","SLB","4.0","0.0","6%","7.7","147","555","106","198","29","91","18","79",".357",".439",".623","1.062","0","0","0","0","0","0","0","0","0","0","0","0",1923
"18","Bucky Harris","WSH","3.0","0.0","5%","3.1","145","532","60","150","2","70","23","50",".282",".358",".382",".740","0","0","0","0","0","0","0","0","0","0","0","0",1923
"18","Joe Harris","BOS","3.0","0.0","5%","4.7","142","483","82","162","13","76","7","52",".335",".406",".520",".925","0","0","0","0","0","0","0","0","0","0","0","0",1923
"20","Joe Hauser","PHA","1.0","0.0","2%","4.2","146","537","93","165","17","94","6","69",".307",".398",".475",".873","0","0","0","0","0","0","0","0","0","0","0","0",1923
"20","Walter Johnson","WSH","1.0","0.0","2%","4.4","42","93","11","18","0","13","0","4",".194",".227",".290",".517","17","12","3.48","1.287","42","34","4","261.0","263","9","73","130",1923
"20","Cy Perkins","PHA","1.0","0.0","2%","1.9","143","500","53","135","2","65","1","65",".270",".356",".370",".726","0","0","0","0","0","0","0","0","0","0","0","0",1923
"1","Walter Johnson","WSH","55.0","0","86%","7.5","39","113","18","32","1","14","0","3",".283",".308",".389",".697","23","7","2.72","1.116","38","38","0","277.2","233","10","77","158",1924
"2","Eddie Collins","CHW","49.0","0","77%","5.2","152","556","108","194","6","86","42","89",".349",".441",".455",".896","0","0","0","0","0","0","0","0","0","0","0","0",1924
"3","Charlie Jamieson","CLE","25.0","0","39%","4.1","143","594","98","213","3","54","21","47",".359",".407",".458",".865","0","0","0","0","0","0","0","0","0","0","0","0",1924
"4","Herb Pennock","NYY","24.0","0","38%","7.9","40","101","13","16","2","10","1","7",".158",".220",".238",".458","21","9","2.83","1.278","40","34","3","286.1","302","13","64","101",1924
"5","Johnny Bassler","DET","22.0","0","34%","4.3","124","379","43","131","1","68","2","62",".346",".441",".422",".864","0","0","0","0","0","0","0","0","0","0","0","0",1924
"6","Hank Severeid","SLB","17.0","0","27%","2.5","137","432","37","133","4","48","1","36",".308",".362",".398",".761","0","0","0","0","0","0","0","0","0","0","0","0",1924
"7","Joe Hauser","PHA","13.0","0","20%","3.9","149","562","97","162","27","115","7","56",".288",".358",".516",".874","0","0","0","0","0","0","0","0","0","0","0","0",1924
"8","Baby Doll Jacobson","SLB","11.0","0","17%","4.5","152","579","103","184","19","97","6","35",".318",".361",".528",".889","0","0","0","0","0","0","0","0","0","0","0","0",1924
"9","Harry Heilmann","DET","9.0","0","14%","6.5","153","570","107","197","10","114","13","78",".346",".428",".533",".961","0","0","0","0","0","0","0","0","0","0","0","0",1924
"9","Joe Sewell","CLE","9.0","0","14%","3.9","153","594","99","188","4","106","3","67",".316",".388",".429",".817","0","0","0","0","0","0","0","0","0","0","0","0",1924
"11","Muddy Ruel","WSH","7.0","0.0","11%","2.3","149","501","50","142","0","57","7","62",".283",".370",".331",".702","0","0","0","0","0","0","0","0","0","0","0","0",1924
"11","Wally Schang","NYY","7.0","0.0","11%","2.2","114","356","46","104","5","51","2","48",".292",".382",".427",".809","0","0","0","0","0","0","0","0","0","0","0","0",1924
"11","Al Simmons","PHA","7.0","0.0","11%","1.6","152","594","69","183","8","102","16","30",".308",".343",".431",".774","0","0","0","0","0","0","0","0","0","0","0","0",1924
