"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"37","Orlando Arcia","27","ATL","56","196","1","1","-1","-3","1","-2","-0.2","7","5","0.5",".496",".499","0.8","-0.2","8","$1,600,000","Traded","4/D75H6"
"38","Nolan Arenado","31","STL","138","582","36","0","-2","18","2","54","5.7","20","74","7.5",".540",".534","5.6","2.2","56","$35,000,000","Traded","*5D/H"
"39","Gabriel Arias","22","CLE","6","20","-2","0","0","0","0","-2","-0.3","1","-2","-0.2",".458",".498","-0.2","0.0","-2","","Traded","/546"
"40","Randy Arozarena","27","TBR","140","590","18","-1","0","-4","-6","8","0.8","20","28","2.8",".506",".505","3.3","-1.1","32","","Traded","*7D9/H"
"41","Luis Arraez*","25","MIN","134","563","20","-1","1","3","-4","18","1.9","19","38","3.8",".515",".512","3.6","-0.2","35","$2,125,000","Amateur Free Agent","34DH/5"
"42","Christian Arroyo","27","BOS","79","276","0","-2","0","-1","1","-3","-0.3","9","7","0.6",".496",".498","0.8","-0.1","8","$1,200,000","Waivers","4965/3DH"
"43","Willians Astudillo","30","MIA","21","55","-3","0","0","-5","0","-8","-0.8","2","-6","-0.7",".461",".495","-0.2","-0.5","-1","","Free Agency","5/4H31D"
"44","Jose Azocar","26","SDP","87","186","0","-3","0","3","-2","-2","-0.2","6","5","0.4",".498",".499","0.1","0.1","2","","Free Agency","98H7/D"
"45","Akil Baddoo*","23","DET","60","175","-7","0","0","6","-1","-2","-0.2","6","4","0.4",".497",".499","-0.3","0.5","-2","","Rule 5 Draft","78/HD"
"46","Harrison Bader","28","2TM","73","268","0","4","0","-1","2","4","0.5","9","14","1.4",".506",".503","1.5","0.1","15","$5,200,000","Traded","/8"
"47","Javier Baez","29","DET","132","538","-1","3","0","-3","7","6","0.6","18","24","2.4",".505",".504","2.8","0.4","27","$20,000,000","Free Agency","*6/DH"
"48","Rylan Bannon","26","BAL","4","15","-1","0","0","-1","0","-2","-0.2","1","-2","-0.2",".443",".499","-0.1","-0.1","-1","","Traded","/5D"
"49","Daniel Bard","37","COL","3","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$4,400,000","Free Agency","1"
"50","Joe Barlow","26","TEX","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Draft","1"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"51","Scott Barlow","29","KCR","3","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$2,400,000","Free Agency","1"
"52","Austin Barnes","32","LAD","54","186","1","-1","-1","-1","3","2","0.2","6","8","0.8",".503",".501","0.9","0.3","9","$2,650,000","Traded","2/DH4"
"53","Tucker Barnhart*","31","DET","87","282","-12","0","0","-1","6","-8","-0.9","10","2","0.0",".490",".495","0.2","0.5","2","$7,500,000","Traded","2/51"
"54","Luis Barrera*","26","OAK","32","85","-1","0","0","2","-1","-1","-0.1","3","3","0.2",".499",".500","0.0","0.1","0","","Amateur Free Agent","79/H8"
"55","Tres Barrera","27","WSN","14","35","-3","0","0","-2","1","-4","-0.4","1","-3","-0.3",".469",".497","-0.1","-0.1","-1","","Amateur Draft","2"
"56","Jose Barrero","24","CIN","38","143","-17","0","0","0","2","-15","-1.6","5","-10","-1.2",".457",".490","-1.2","0.2","-10","","Amateur Free Agent","6"
"57","Joey Bart","25","SFG","86","260","-2","-1","0","-1","5","0","0.1","9","9","0.9",".500",".500","1.0","0.4","10","","Amateur Draft","2/HD"
"58","Anthony Bass","34","MIA","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".493",".500","0.0","0.0","0","$3,000,000","Free Agency","1/DH"
"59","Matthew Batten","27","SDP","15","22","-2","0","1","0","0","-2","-0.2","1","-1","-0.1",".489",".499","-0.1","0.0","-1","","Amateur Draft","/5H4D17"
"60","Brett Baty*","22","NYM","11","42","-2","0","1","-3","0","-4","-0.4","1","-3","-0.3",".460",".497","0.0","-0.3","0","","Amateur Draft","5"
"61","FÃ©lix Bautista","27","BAL","3","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Free Agency","1"
"62","Matt Beaty*","29","SDP","20","47","-6","0","0","-1","-1","-8","-0.8","2","-6","-0.7",".458",".495","-0.6","-0.2","-5","","Traded","9/H3D7"
"63","Tim Beckham","32","MIN","12","25","-5","0","0","0","-1","-6","-0.6","1","-5","-0.5",".448",".496","-0.5","-0.1","-5","","Free Agency","/H7D3"
"64","David Bednar*","27","PIT","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Traded","1"
"65","Seth Beer*","25","ARI","38","126","-8","-1","0","-1","-3","-13","-1.4","4","-9","-0.9",".464",".492","-0.9","-0.4","-8","","Traded","D/3H"
"66","Josh Bell#","29","2TM","144","608","25","-3","-2","-2","-8","10","1.1","21","31","3.0",".507",".507","3.2","-1.0","33","$10,000,000","Traded","*3D/H"
"67","Andrew Bellatti","30","PHI","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Free Agency","1"
"68","Cody Bellinger*","26","LAD","131","508","-17","4","1","2","4","-6","-0.6","17","11","1.0",".495",".496","0.8","0.7","9","$17,000,000","Amateur Draft","*8/H"
"69","Brandon Belt*","34","SFG","78","298","-3","1","-2","2","-4","-6","-0.6","10","4","0.4",".492",".496","0.1","-0.2","2","$18,400,000","Free Agency","3DH"
"70","Anthony Bemboom*","32","BAL","22","59","-6","0","0","0","1","-4","-0.5","2","-2","-0.3",".478",".497","-0.3","0.1","-2","","Free Agency","2/H"
"71","Andrew Benintendi*","27","2TM","126","521","14","1","0","2","-4","14","1.4","18","31","3.2",".512",".506","3.0","-0.3","29","$8,500,000","Traded","*7/HD"
"72","Will Benson*","24","CLE","24","55","-3","-1","0","0","0","-4","-0.5","2","-2","-0.3",".481",".497","-0.3","0.0","-2","","Amateur Draft","/8H79D"
"73","Wynton Bernard","31","COL","12","42","-2","0","0","1","0","-1","-0.1","1","1","0.1",".493",".499","-0.1","0.1","0","","Free Agency","8/D7H9"
"74","Jon Berti","32","MIA","89","350","1","4","2","2","2","11","1.2","12","23","2.4",".513",".507","2.1","0.4","21","$1,200,000","Free Agency","457/H68D"
"75","Christian Bethancourt","30","2TM","92","309","1","-1","-1","0","0","0","-0.1","11","10","0.9",".499",".499","1.0","0.0","10","","Free Agency","23HD/15"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"76","Mookie Betts","29","LAD","129","588","29","2","1","13","-4","40","4.3","19","59","6.0",".533",".526","4.6","1.0","46","$22,916,666","Traded","*9/4HD"
"77","Bo Bichette","24","TOR","146","642","21","-3","-1","-12","9","14","1.4","21","35","3.5",".510",".509","4.8","-0.4","47","","Amateur Draft","*6/DH"
"78","Phil Bickford","26","LAD","2","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Waivers","1"
"79","Cavan Biggio*","27","TOR","89","280","0","0","1","1","-1","1","0.1","10","10","1.0",".501",".500","0.9","0.0","9","$2,123,000","Amateur Draft","43H/9D7"
"80","Charlie Blackmon*","35","COL","129","555","-7","-1","2","-6","-8","-20","-2.0","19","-1","-0.3",".484",".487","0.3","-1.4","5","$21,000,000","Amateur Draft","D9/H"
"81","Dairon Blanco","29","KCR","5","7","0","0","0","0","0","0","0.0","0","0","0.0",".503",".500","0.0","0.0","0","","Traded","/8HD"
"82","Travis Blankenhorn*","25","NYM","1","3","-1","0","0","0","0","-1","-0.1","0","-1","-0.1",".405",".499","-0.1","0.0","-1","","Waivers","/D"
"83","JJ Bleday*","24","MIA","53","195","-6","1","0","-3","1","-9","-0.9","7","-2","-0.3",".483",".494","0.0","-0.2","1","","Amateur Draft","87/H9"
"84","Richard Bleier*","35","MIA","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$2,250,000","Traded","1"
"85","Xander Bogaerts","29","BOS","138","583","24","3","-1","2","8","36","3.8","20","56","5.7",".528",".524","5.6","1.0","54","$20,000,000","Amateur Free Agent","*6/DH"
"86","Alec Bohm","25","PHI","137","568","6","0","-1","-18","2","-11","-1.0","19","9","0.8",".492",".493","2.6","-1.6","27","","Amateur Draft","*5/3DH"
"87","Ronald Bolanos","25","KCR","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Traded","/1"
"88","Skye Bolt#","28","OAK","42","116","-4","0","0","-3","1","-6","-0.6","4","-2","-0.3",".485",".496","0.1","-0.3","1","","Purchased","8/H97"
"89","David Bote","29","CHC","33","96","0","0","-1","1","1","1","0.1","3","4","0.4",".502",".500","0.3","0.2","3","$2,510,000","Amateur Draft","45/3HD"
"90","Sean Bouchard","26","COL","13","42","-2","0","0","-1","0","-3","-0.4","1","-2","-0.2",".472",".498","-0.1","-0.1","-1","","Amateur Draft","7/H"
