"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"158","J.P. Crawford*","27","SEA","133","554","4","-1","1","-3","8","8","0.9","19","27","2.7",".507",".505","3.1","0.5","30","$6,000,000","Traded","*6"
"159","C.J. Cron","32","COL","141","599","7","1","-1","7","-8","7","0.8","20","27","2.7",".505",".504","1.9","0.0","20","$7,250,000","Free Agency","*3D/H"
"160","Jake Cronenworth*","28","SDP","145","630","10","2","2","-2","4","16","1.7","21","37","3.7",".511",".510","3.9","0.2","39","","Traded","*43/6HD"
"161","Narciso Crook","26","CHC","4","9","-1","0","0","-1","0","-2","-0.2","0","-2","-0.2",".446",".499","-0.1","-0.1","-1","","Free Agency","/H98"
"162","Nelson Cruz","41","WSN","124","507","-4","0","-1","0","-11","-15","-1.5","17","3","0.2",".488",".491","0.1","-1.1","3","$12,000,000","Free Agency","*D/H"
"163","Oneil Cruz*","23","PIT","75","304","-1","0","1","1","4","6","0.6","10","16","1.6",".508",".504","1.5","0.5","15","","Traded","6/DH7"
"164","Charlie Culberson","33","TEX","65","118","-3","-1","0","-1","-1","-6","-0.6","4","-2","-0.2",".491",".496","-0.1","-0.2","-1","$1,750,000","Free Agency","5H47D/136"
"165","Travis d'Arnaud","33","ATL","97","385","11","-2","-1","-1","6","14","1.5","13","27","2.7",".515",".509","2.8","0.6","28","$8,000,000","Free Agency","2/DH"
"166","Bobby Dalbec","27","BOS","111","340","-7","0","0","-5","-4","-15","-1.7","12","-3","-0.5",".485",".490","0.1","-1.0","2","","Amateur Draft","35H/4D6"
"167","Matt Davidson","31","2TM","13","37","-2","0","0","-4","0","-7","-0.7","1","-5","-0.6",".446",".497","-0.2","-0.4","-1","","Free Agency","/5DH"
"168","J.D. Davis","29","2TM","104","320","3","-1","-2","-2","-5","-7","-0.6","11","5","0.4",".493",".497","0.6","-0.7","6","$2,760,000","Traded","DH53/7"
"169","Jaylin Davis","27","BOS","12","27","1","0","0","0","0","1","0.1","1","2","0.2",".505",".500","0.2","0.0","1","","Waivers","/H897"
"170","Jonathan Davis","30","MIL","37","91","-3","0","0","-2","1","-4","-0.4","3","-1","-0.1",".490",".498","0.1","-0.1","2","","Free Agency","8/H"
"171","Ronnie Dawson*","27","CIN","1","3","-1","0","0","0","0","-1","-0.1","0","-1","-0.1",".399",".499","-0.1","0.0","-1","","Waivers","/D"
"172","Yonathan Daza","28","COL","102","360","1","0","1","-4","1","-1","-0.1","12","11","1.1",".499",".499","1.5","-0.3","15","","Amateur Free Agent","*87/H9"
"173","Bryan De La Cruz","25","MIA","102","300","-10","-1","0","-1","-3","-14","-1.5","10","-4","-0.5",".485",".491","-0.4","-0.4","-3","","Traded","978H/D"
"174","Enyel De Los Santos","26","CLE","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Free Agency","1"
"175","Austin Dean","28","SFG","3","9","1","0","0","0","0","1","0.1","0","1","0.2",".538",".501","0.2","0.0","1","","Waivers","/7H9"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"176","Paul DeJong","28","STL","65","205","-10","-1","1","4","3","-2","-0.2","7","5","0.5",".497",".499","0.1","0.8","1","$6,166,666","Amateur Draft","6/HD"
"177","Jason Delay","27","PIT","47","141","-7","-1","0","1","3","-5","-0.5","5","0","-0.1",".489",".497","-0.2","0.4","-1","","Amateur Draft","2"
"178","Ben DeLuzio","27","STL","12","10","1","-1","0","2","0","3","0.3","0","3","0.3",".523",".502","0.1","0.2","1","","Waivers","8/H"
"179","Travis Demeritte","27","ATL","26","96","-5","0","0","-1","-1","-7","-0.8","3","-4","-0.5",".470",".495","-0.4","-0.2","-3","","Waivers","9/7H"
"180","Rafael Devers*","25","BOS","128","561","27","-2","0","-2","3","26","2.8","18","45","4.6",".522",".517","4.8","0.1","47","$11,200,000","Amateur Free Agent","*5/DH"
"181","Aledmys DÃ­az","31","HOU","82","290","3","-1","0","4","0","6","0.6","10","16","1.6",".508",".504","1.2","0.4","12","$4,450,000","Traded","746H/53D9"
"182","Edwin DÃ­az","28","NYM","2","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$10,200,000","Traded","1"
"183","Elias Diaz","31","COL","96","344","-8","-2","0","-2","6","-6","-0.6","12","6","0.6",".494",".496","0.7","0.5","8","$3,000,000","Free Agency","2/H"
"184","Jordan Diaz","21","OAK","2","6","-1","0","0","0","0","-1","-0.1","0","-1","-0.1",".455",".499","-0.1","0.0","-1","","Free Agency","/34"
"185","Lewin Diaz*","25","MIA","45","142","-10","0","0","3","-2","-10","-1.0","5","-5","-0.6",".477",".494","-0.9","0.1","-8","","Traded","3/DH"
"186","Yainer Diaz","23","HOU","3","5","0","0","0","0","0","0","0.0","0","0","0.0",".506",".500","0.0","0.0","0","","Traded","/D2H"
"187","Yandy DÃ­az","30","TBR","133","549","28","-1","0","-14","1","14","1.5","19","33","3.3",".511",".509","4.9","-1.5","47","$2,800,000","Traded","*53D/H"
"188","Yusniel Diaz","25","BAL","1","1","0","0","0","0","0","0","0.0","0","0","0.0",".471",".500","0.0","0.0","0","","Traded","/H9"
"189","Alex Dickerson*","32","ATL","13","36","-4","0","-1","0","-1","-5","-0.6","1","-4","-0.4",".458",".497","-0.4","-0.1","-4","$1,000,000","Free Agency","D/H9"
"190","Corey Dickerson*","33","STL","84","260","0","1","0","-4","-4","-7","-0.7","9","2","0.2",".492",".496","0.6","-0.8","6","$5,000,000","Free Agency","7DH9"
"191","Wilmer Difo#","30","ARI","3","6","-2","0","0","0","0","-1","-0.2","0","-1","-0.1",".448",".499","-0.1","0.0","-1","","","/64"
"192","Josh Donaldson","36","NYY","120","495","2","-2","0","9","1","9","1.0","17","26","2.6",".508",".506","1.7","1.0","17","$21,750,000","Traded","5D/H"
"193","Brendan Donovan*","25","STL","114","422","13","-1","1","8","-2","19","2.0","14","33","3.4",".517",".512","2.5","0.7","25","","Amateur Draft","54973DH/6"
"194","Jeter Downs","23","BOS","14","41","-5","0","0","-3","0","-7","-0.8","1","-6","-0.6",".447",".495","-0.3","-0.3","-3","","Traded","/45H6D"
"195","Hunter Dozier","30","KCR","120","469","-5","-4","-1","-10","-5","-25","-2.8","16","-9","-1.2",".477",".483","-0.1","-1.7","1","$4,750,000","Amateur Draft","395D/7H1"
"196","Brandon Drury","29","2TM","124","512","13","-2","2","-5","-1","7","0.8","17","24","2.4",".506",".504","2.9","-0.5","29","$700,000","Free Agency","543D/H69"
"197","Mauricio Dubon","27","2TM","95","243","-11","-1","0","3","2","-7","-0.8","8","1","0.1",".492",".496","-0.3","0.6","-2","","Traded","846/7H9"
"198","Tyler Duffey","31","MIN","2","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$3,800,000","Amateur Draft","1"
"199","Matt Duffy","31","LAA","65","206","-5","-1","0","-1","1","-6","-0.7","7","1","0.0",".490",".496","0.1","-0.1","2","$1,500,000","Free Agency","543H"
"200","Steven Duggar*","28","3TM","29","80","-7","1","0","-1","0","-7","-0.8","3","-5","-0.6",".472",".498","-0.5","-0.1","-4","","Waivers","7/8H"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"201","Joe Dunand","26","MIA","3","11","1","0","0","0","0","1","0.1","0","2","0.2",".539",".501","0.2","0.0","1","","Amateur Draft","/45"
"202","Ezequiel Duran","23","TEX","58","220","-6","0","0","-1","2","-6","-0.6","8","2","0.1",".490",".496","0.3","0.0","3","","Traded","5/4HD"
"203","Jarren Duran*","25","BOS","57","219","-5","1","2","-7","1","-8","-0.8","7","0","-0.1",".486",".495","0.7","-0.7","7","","Amateur Draft","8/9HD"
"204","Jhoan Duran","24","MIN","3","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Traded","1"
"205","Adam Duvall","33","ATL","86","315","-7","-2","1","-3","0","-12","-1.2","11","-1","-0.2",".485",".492","0.1","-0.3","2","$9,275,000","Traded","879/H"
"206","Nate Eaton","25","KCR","32","86","-1","2","0","6","-1","7","0.7","3","10","1.0",".522",".504","0.3","0.6","3","","Amateur Draft","9/H578"
"207","Tommy Edman#","27","STL","144","595","6","7","2","19","7","42","4.4","20","62","6.4",".530",".527","4.3","2.8","43","","Amateur Draft","46/5H98"
"208","Drew Ellis","26","2TM","7","17","-1","0","0","-3","0","-4","-0.4","1","-4","-0.4",".441",".498","-0.1","-0.3","-1","","Amateur Draft","/5"
"209","Jerar Encarnacion","24","MIA","22","77","-4","1","0","1","-1","-3","-0.3","3","0","-0.1",".485",".498","-0.2","0.0","-1","","Free Agency","7/9DH"
"210","Adam Engel","30","CHW","111","241","-11","2","1","5","-1","-4","-0.5","8","4","0.3",".496",".497","-0.2","0.4","-1","$2,000,000","Amateur Draft","*98H/D7"
"211","Alcides Escobar","35","WSN","40","131","-6","0","1","-6","2","-10","-1.0","4","-5","-0.6",".475",".494","0.0","-0.4","1","$1,000,000","Purchased","6/H41"
"212","Eduardo Escobar#","33","NYM","125","496","-1","0","1","-10","3","-7","-0.7","17","10","0.9",".494",".495","1.9","-0.7","20","$10,000,000","Free Agency","*5/DH4"
"213","Santiago Espinal","27","TOR","134","489","-3","0","-1","5","5","6","0.6","17","23","2.3",".505",".504","1.8","1.0","18","","Traded","*4H56"
"214","Carlos Estevez","29","COL","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$3,025,000","Amateur Free Agent","1"
"215","Thairo Estrada","26","SFG","129","500","10","1","3","-12","5","7","0.8","17","24","2.4",".505",".504","3.6","-0.7","36","","Purchased","467/H58"
"216","Stuart Fairchild","26","3TM","33","68","3","-3","0","4","0","4","0.4","2","7","0.7",".513",".503","0.2","0.4","3","","Waivers","78/H9"
"217","Jeurys Familia","32","PHI","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$6,000,000","Free Agency","1"
"218","Kyle Farmer","31","CIN","131","528","-7","-3","-2","-2","6","-8","-0.7","18","10","1.0",".494",".495","1.1","0.5","12","$3,155,000","Free Agency","65/DH3"
"219","Mario Feliciano","23","MIL","2","5","0","0","0","0","0","0","0.0","0","0","0.0",".506",".500","0.0","0.0","0","","Amateur Draft","/2"
"220","Freddy Fermin","27","KCR","3","7","-2","0","0","0","0","-2","-0.2","0","-1","-0.2",".441",".499","-0.2","0.0","-1","","Free Agency","/2"
"221","David Fletcher","28","LAA","54","201","-4","0","0","5","3","3","0.4","7","10","1.0",".507",".502","0.5","0.9","5","$4,000,000","Amateur Draft","46/H"
"222","Wilmer Flores","30","SFG","140","555","2","-2","1","-8","-1","-9","-0.9","19","10","0.9",".493",".494","1.7","-1.0","18","$3,500,000","Free Agency","435DH"
"223","Estevan Florial*","24","NYY","17","35","-4","1","0","-2","0","-6","-0.6","1","-4","-0.5",".465",".496","-0.3","-0.2","-2","","Amateur Free Agent","8/HD7"
"224","Dylan Floro*","31","MIA","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$3,000,000","Traded","1"
"225","Mike Ford*","29","4TM","45","129","-2","-1","0","-1","-2","-6","-0.7","4","-2","-0.3",".485",".499","-0.1","-0.4","-1","$100,000","Waivers","/DH31"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"226","Nick Fortes","25","MIA","63","205","0","-1","0","3","3","4","0.5","7","11","1.2",".507",".503","0.8","0.6","8","","Amateur Draft","2DH/3"
"227","Matt Foster","27","CHW","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Draft","1"
"228","Lucius Fox#","24","WSN","10","28","-4","0","0","-3","0","-7","-0.8","1","-6","-0.7",".425",".495","-0.4","-0.3","-3","","Waivers","/65H"
"229","Jake Fraley*","27","CIN","57","207","4","1","0","-6","-2","-3","-0.3","7","4","0.4",".495",".498","1.0","-0.8","10","","Traded","7D9H/8"
"230","Ty France","27","SEA","127","552","17","-1","-1","1","-6","11","1.1","18","29","2.9",".509",".507","2.9","-0.6","28","","Traded","*3/DH4"
"231","Maikel Franco","29","WSN","103","388","-12","0","-3","-9","2","-23","-2.3","13","-9","-1.1",".477",".485","-0.2","-0.7","0","$700,000","Free Agency","*5/3HD"
"232","Wander Franco#","21","TBR","71","295","2","2","1","1","3","9","1.0","10","20","2.0",".514",".506","1.9","0.4","18","$1,454,545","Amateur Free Agent","6/DH"
"233","Adam Frazier*","30","SEA","144","562","-13","0","0","-1","2","-12","-1.3","19","7","0.6",".491",".492","0.7","0.1","8","$8,000,000","Traded","*497H/D68"
"234","Jackson Frazier","27","CHC","19","45","0","0","0","0","-1","-1","-0.1","2","1","0.1",".497",".500","0.1","-0.1","1","$1,500,000","Free Agency","/DH79"
"235","Freddie Freeman*","32","LAD","147","657","42","0","1","-3","-7","33","3.5","21","55","5.5",".523",".521","5.8","-1.0","58","$27,000,000","Free Agency","*3"
"236","Tyler Freeman","23","CLE","22","78","-1","0","0","-4","1","-4","-0.4","3","-1","-0.2",".481",".497","0.3","-0.4","3","","Amateur Draft","5/64HD"
"237","TJ Friedl*","26","CIN","60","219","0","1","0","2","-1","3","0.4","7","11","1.1",".506",".502","0.8","0.2","9","","Amateur Free Agent","879H/D"
"238","Michael Fulmer","29","MIN","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Traded","1"
"239","Cam Gallagher","29","KCR","18","47","-1","-1","0","-1","1","-2","-0.2","2","0","-0.1",".489",".499","0.1","0.0","1","$885,000","Amateur Draft","2"
"240","Joey Gallo*","28","2TM","116","382","-7","-1","1","3","-4","-8","-0.8","13","6","0.4",".493",".496","0.1","-0.2","2","$10,275,000","Traded","7/9DH"
"241","Ben Gamel*","30","PIT","105","392","-2","0","1","-7","-5","-13","-1.3","13","1","0.0",".487",".492","0.7","-1.2","7","$1,800,000","Waivers","79D/H38"
"242","Adolis GarcÃ­a","29","TEX","142","602","6","5","2","1","-2","12","1.2","20","32","3.2",".509",".508","3.2","-0.2","31","","Purchased","*98D/H"
"243","Aramis Garcia","29","CIN","46","113","-9","-1","-1","-2","2","-11","-1.1","4","-7","-0.8",".475",".493","-0.6","0.0","-5","","Free Agency","2/3DH"
"244","Avisail Garcia","31","MIA","93","359","-15","1","-1","-2","-4","-21","-2.2","12","-9","-1.0",".476",".486","-0.8","-0.6","-7","$12,000,000","Free Agency","9D/H"
"245","Dermis Garcia","24","OAK","26","83","3","0","0","-1","-1","0","0.0","3","3","0.3",".502",".500","0.4","-0.3","4","","Free Agency","3/HD7"
"246","Leury Garcia#","31","CHW","97","315","-23","1","0","2","1","-18","-2.0","11","-7","-1.0",".479",".488","-1.2","0.3","-9","$5,500,000","Free Agency","46H9/75D8"
"247","Luis Garcia*","22","WSN","80","325","-1","-2","1","-15","4","-13","-1.3","11","-1","-0.2",".484",".492","1.3","-1.1","14","","Amateur Free Agent","64/H"
"248","Maikel Garcia","22","KCR","9","23","0","0","0","0","0","0","-0.1","1","0","0.0",".495",".500","0.0","0.0","0","","Free Agency","/6H"
"249","Rico Garcia","28","BAL","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Free Agency","/1"
"250","Kyle Garlick","30","MIN","66","162","3","0","0","-3","-3","-2","-0.3","6","3","0.3",".496",".498","0.6","-0.6","6","","Waivers","79H/D"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"251","Dustin Garneau","34","DET","8","11","0","0","0","0","0","1","0.1","0","1","0.1",".508",".500","0.1","0.0","1","$1,175,000","Purchased","/2H"
"252","Stone Garrett","26","ARI","19","65","4","-1","0","1","-1","3","0.4","2","6","0.6",".519",".502","0.5","0.0","5","","Free Agency","7/DH"
"253","Mitch Garver","31","TEX","54","215","2","0","0","-2","-2","-3","-0.3","7","4","0.4",".494",".498","0.6","-0.5","6","$3,335,000","Traded","D2/H"
"254","Lucas Gilbreath*","26","COL","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Draft","1"
"255","Andres Gimenez*","23","CLE","135","510","24","3","1","12","5","45","4.8","17","62","6.4",".535",".530","5.2","1.8","50","","Traded","*46/H"
"256","Mychal Givens","32","NYM","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".499",".500","0.0","0.0","0","","Traded","1/H"
"257","Jose Godoy*","27","2TM","7","12","-2","0","0","0","0","-1","-0.1","0","-1","-0.1",".480",".499","-0.1","0.0","-1","","Waivers","/2"
"258","Paul Goldschmidt","34","STL","140","610","61","1","0","1","-8","55","5.7","20","75","7.6",".540",".535","7.4","-0.7","74","$26,000,000","Traded","*3D/H"
"259","Yan Gomes","34","CHC","79","268","-7","0","-2","4","4","-2","-0.2","9","7","0.7",".498",".499","0.3","0.8","3","$6,000,000","Free Agency","2/DH"
"260","Erik Gonzalez","30","MIA","16","41","-3","0","0","2","1","0","0.0","1","2","0.2",".501",".500","-0.1","0.3","-1","$100,000","Free Agency","/6543"
"261","Luis Gonzalez*","26","SFG","95","340","-4","-1","1","1","-4","-8","-0.7","12","4","0.3",".492",".495","0.2","-0.3","3","","Waivers","97/H81D"
"262","Marwin Gonzalez#","33","NYY","76","182","-5","0","-1","6","-1","-2","-0.2","6","5","0.4",".498",".499","-0.2","0.6","-1","","Free Agency","6973H5/4D1"
"263","Oscar Gonzalez","24","CLE","77","321","10","-2","1","0","-3","6","0.7","11","17","1.7",".509",".504","1.8","-0.3","17","","Free Agency","9/DH"
"264","Romy Gonzalez","25","CHW","22","81","-1","-1","0","-3","1","-4","-0.4","3","-1","-0.2",".480",".497","0.2","-0.3","2","","Amateur Draft","4/67H"
"265","Niko Goodrum#","30","HOU","15","45","-5","0","0","1","0","-4","-0.4","2","-2","-0.3",".473",".498","-0.4","0.1","-3","$2,100,000","Free Agency","4/3DH"
"266","Nick Gordon*","26","MIN","124","392","10","1","1","-4","0","8","0.9","13","22","2.2",".507",".506","2.6","-0.5","26","","Amateur Draft","7846H/1D"
"267","Terrance Gore","31","NYM","5","2","-1","1","0","0","0","0","0.0","0","0","0.0",".495",".500","0.0","0.0","0","","Free Agency","/HD7"
"268","Nolan Gorman*","22","STL","89","313","2","1","0","-6","1","-3","-0.3","11","7","0.7",".496",".498","1.3","-0.5","13","","Amateur Draft","4DH/7"
"269","Phil Gosselin","33","2TM","34","77","-9","-1","1","-2","0","-11","-1.2","3","-8","-1.0",".464",".495","-0.8","-0.2","-6","$100,000","Free Agency","4/H9"
"270","Yasmani Grandal#","33","CHW","89","339","-13","-2","-1","-7","2","-21","-2.3","12","-10","-1.2",".474",".486","-0.4","-0.6","-3","$18,250,000","Free Agency","2D/3H"
"271","Kendall Graveman","31","CHW","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$8,000,000","Free Agency","1"
"272","Riley Greene*","21","DET","80","360","-2","-2","0","2","3","0","0.0","12","12","1.1",".500",".500","1.0","0.5","10","","Amateur Draft","8"
"273","Didi Gregorius*","32","PHI","63","232","-11","1","1","-6","3","-13","-1.3","8","-5","-0.6",".479",".492","0.0","-0.3","1","$15,250,000","Free Agency","6/H"
"274","Grayson Greiner","29","ARI","2","8","0","0","0","0","0","0","0.0","0","0","0.0",".497",".500","0.0","0.0","0","$100,000","Free Agency","/2"
"275","Randal Grichuk","30","COL","129","494","-7","0","-1","-2","-2","-12","-1.2","17","5","0.4",".490",".492","0.6","-0.4","7","","Traded","*98/HD1"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"276","Justin Grimm","33","OAK","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Free Agency","1"
"277","Trent Grisham*","25","SDP","139","497","-7","3","3","3","4","6","0.7","17","23","2.3",".504",".504","1.9","0.8","20","","Traded","*8H"
"278","Vaughn Grissom","21","ATL","35","132","4","1","2","-1","1","7","0.8","5","12","1.2",".521",".505","1.3","0.0","13","","Amateur Draft","4"
"279","Jordan Groshans","22","MIA","7","25","1","0","0","1","0","3","0.3","1","3","0.3",".537",".502","0.2","0.1","2","","Traded","/5"
"280","Robbie Grossman#","32","2TM","120","444","-6","0","1","0","-4","-9","-1.0","15","6","0.5",".492",".496","0.5","-0.5","6","$5,000,000","Traded","79/H"
"281","Vladimir Guerrero Jr.","23","TOR","147","648","25","-1","-1","4","-8","18","1.9","21","40","4.0",".513",".512","3.6","-0.5","36","$7,900,000","Amateur Free Agent","*3D/H5"
"282","Luis Guillorme*","27","NYM","92","309","1","-1","-1","2","3","4","0.5","11","15","1.4",".505",".503","1.2","0.5","12","$875,000","Amateur Draft","456/HD"
"283","Lourdes Gurriel Jr.","28","TOR","121","493","7","-1","0","2","-5","3","0.3","17","19","1.9",".502",".502","1.7","-0.4","17","$4,928,572","Amateur Free Agent","*7D/3H"
"284","Yuli Gurriel","38","HOU","135","541","-11","1","-1","-1","-6","-18","-2.0","18","0","-0.2",".485",".488","-0.1","-0.9","1","$8,000,000","Amateur Free Agent","*3/HD"
"285","Dalton Guthrie","26","PHI","6","13","2","0","0","1","0","3","0.3","0","3","0.4",".551",".502","0.2","0.1","2","","Amateur Draft","/9"
"286","Kelvin Gutierrez","27","BAL","12","33","-2","0","0","-1","0","-3","-0.3","1","-2","-0.2",".476",".498","-0.1","-0.1","0","","Purchased","5/HD"
"287","Ronald Guzman*","27","NYY","3","6","-2","0","0","0","0","-2","-0.2","0","-2","-0.2",".431",".499","-0.2","0.0","-2","","Free Agency","/3"
"288","Eric Haase","29","DET","101","320","3","0","0","-4","4","3","0.3","11","14","1.4",".503",".502","1.9","0.0","18","","Purchased","2HD7"
"289","Jake Hager","29","ARI","28","59","-1","0","0","-2","1","-2","-0.2","2","0","-0.1",".491",".498","0.1","-0.1","2","","Waivers","4/561DH"
"290","Sam Haggerty#","28","SEA","74","173","5","2","0","8","-3","12","1.3","6","18","1.9",".518",".508","1.0","0.5","10","","Waivers","97H/D84"
"291","Darick Hall*","26","PHI","37","135","4","0","0","0","-3","1","0.1","5","6","0.6",".503",".501","0.5","-0.3","6","","Amateur Draft","D/3H1"
"292","Billy Hamilton#","31","2TM","31","20","-4","2","0","0","-1","-2","-0.2","1","-2","-0.2",".492",".499","-0.2","-0.1","-2","","Free Agency","H/78D45"
"293","Caleb Hamilton","27","MIN","14","9","-2","0","0","0","0","-2","-0.3","0","-2","-0.2",".481",".498","-0.2","0.0","-2","","Amateur Draft","/2H3D"
"294","Garrett Hampson","27","COL","84","214","-11","1","0","-7","3","-14","-1.5","7","-7","-0.8",".482",".491","-0.1","-0.4","0","$1,863,000","Amateur Draft","86H/45D"
"295","Mitch Haniger","31","SEA","44","189","0","0","0","4","-2","2","0.2","6","8","0.8",".504",".501","0.4","0.2","4","$7,750,000","Traded","9D"
"296","Ian Happ#","27","CHC","144","587","15","-2","1","12","-5","21","2.3","20","41","4.1",".515",".513","2.8","0.8","29","$6,850,000","Amateur Draft","*7D/H8"
"297","Bryce Harper*","29","PHI","85","365","22","-1","-1","-1","-7","13","1.4","12","25","2.5",".515",".508","2.6","-0.8","26","$27,538,461","Free Agency","D/9H"
"298","Michael Harris*","21","ATL","101","385","19","5","2","7","3","35","3.7","13","49","4.9",".536",".523","4.2","1.1","41","$700,000","Amateur Draft","*8"
"299","Josh Harrison","34","CHW","108","387","-5","-2","0","9","3","4","0.4","13","18","1.7",".504",".503","0.8","1.3","8","$4,000,000","Free Agency","45/HD176"
"300","Monte Harrison","26","LAA","9","14","1","0","0","1","0","2","0.2","0","2","0.2",".520",".501","0.1","0.1","1","","Free Agency","/78H"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"301","Adam Haseley*","26","CHW","14","25","1","0","0","1","-1","1","0.1","1","1","0.1",".504",".500","0.0","0.0","0","","Traded","/H978D"
"302","Ke'Bryan Hayes","25","PIT","125","521","-7","1","0","19","3","17","1.9","18","35","3.5",".514",".511","1.5","2.4","16","$10,000,000","Amateur Draft","*5/H6D"
"303","Austin Hays","26","BAL","131","531","5","-1","0","1","-5","0","0.0","18","18","1.7",".500",".500","1.7","-0.4","17","","Amateur Draft","*79/8DH"
"304","Austin Hedges","29","CLE","96","308","-16","-2","-1","5","6","-8","-0.9","11","3","0.2",".491",".495","-0.3","1.2","-2","$4,000,000","Traded","2"
"305","Jonah Heim#","27","TEX","117","423","1","0","0","2","7","10","1.0","14","24","2.4",".509",".506","2.2","0.9","22","","Traded","*2H/D"
"306","Tyler Heineman#","31","2TM","59","166","-8","0","0","1","3","-4","-0.4","6","2","0.1",".493",".498","0.0","0.5","1","","Waivers","2/H"
"307","Gunnar Henderson*","21","BAL","19","75","5","-1","1","0","0","5","0.6","3","8","0.8",".529",".503","0.8","0.0","8","","Amateur Draft","/56D4H"
"308","Liam Hendriks","33","CHW","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$13,333,334","Free Agency","1"
"309","Ryan Hendrix","27","CIN","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Draft","/1"
"310","Payton Henry","25","MIA","15","35","-2","0","0","-1","1","-2","-0.2","1","-1","-0.1",".484",".499","0.0","0.0","0","","Traded","2/H"
"311","David Hensley","26","HOU","10","28","0","0","0","-1","0","-2","-0.2","1","-1","-0.1",".482",".499","0.0","-0.1","0","","Amateur Draft","/D5H64"
"312","Guillermo Heredia","31","ATL","66","77","-6","0","0","2","-3","-6","-0.7","3","-4","-0.4",".490",".496","-0.6","0.0","-6","$1,000,000","Waivers","79H/8D"
"313","Michael Hermosillo","27","CHC","27","63","-6","0","0","-2","0","-8","-0.8","2","-5","-0.6",".470",".495","-0.4","-0.2","-3","$600,000","Free Agency","8/H97"
"314","Carlos Hernandez","25","KCR","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Free Agent","1"
"315","Cesar Hernandez#","32","WSN","137","585","-10","0","0","-3","4","-10","-0.9","20","10","0.9",".493",".494","1.2","0.2","13","$4,000,000","Free Agency","*4/75H"
"316","Elier Hernandez","27","TEX","14","35","-3","-1","0","0","-1","-5","-0.6","1","-4","-0.4",".461",".497","-0.4","-0.1","-4","","Free Agency","/7DH39"
"317","Enrique Hernandez","30","BOS","79","348","-8","1","-2","3","3","-3","-0.4","11","8","0.8",".496",".498","0.5","0.6","5","$8,000,000","Free Agency","8/64H"
"318","Teoscar Hernandez","29","TOR","118","481","13","-1","-2","3","-4","9","1.0","16","26","2.6",".509",".506","2.3","-0.2","23","$10,650,000","Traded","*9/D7H"
