"Name","WAR","G...8","AB","R","H...11","HR...12","RBI","SB","BB...15","BA","OBP","SLG","OPS","W","L","ERA","WHIP","GS","SV","IP","H_A","HR_A","BB_A","SO_A","yearID","playerID","MVPCan"
"Sam Crawford",4.7,149,581,81,189,4,109,42,42,0.325,0.373,0.47,0.843,0,0,0,0,0,0,0,0,0,0,0,1912,"crawfsa01","yes"
"Eddie Foster",5.4,154,618,98,176,2,70,27,53,0.285,0.345,0.379,0.724,0,0,0,0,0,0,0,0,0,0,0,1912,"fosteed02","yes"
"Larry Gardner",5.8,143,517,88,163,3,86,25,56,0.315,0.383,0.449,0.832,0,0,0,0,0,0,0,0,0,0,0,1912,"gardnla01","yes"
"Bill Carrigan",1.4,87,266,34,70,0,24,7,38,0.263,0.359,0.297,0.656,0,0,0,0,0,0,0,0,0,0,0,1912,"carribi02","yes"
"George Moriarty",1,105,375,38,93,0,54,30,26,0.248,0.316,0.315,0.63,0,0,0,0,0,0,0,0,0,0,0,1912,"moriage02","yes"
"Joe Birmingham",-0.2,107,369,49,94,1,45,15,26,0.255,0.311,0.331,0.641,0,0,0,0,0,0,0,0,0,0,0,1912,"birmijo01","yes"
"Bert Daniels",2.7,135,496,72,136,2,41,37,51,0.274,0.363,0.381,0.744,0,0,0,0,0,0,0,0,0,0,0,1912,"daniebe01","yes"
"George McBride",2.6,152,521,56,118,1,52,17,38,0.226,0.288,0.284,0.572,0,0,0,0,0,0,0,0,0,0,0,1912,"mcbrige01","yes"
"Stuffy McInnis",5.7,153,568,83,186,3,101,27,49,0.327,0.384,0.433,0.817,0,0,0,0,0,0,0,0,0,0,0,1912,"mcinnst01","yes"
"Danny Moeller",3.3,132,519,90,143,6,46,30,52,0.276,0.346,0.399,0.745,0,0,0,0,0,0,0,0,0,0,0,1912,"moellda01","yes"
"Walter Johnson",16.5,55,134,12,35,2,14,2,5,0.261,0.293,0.433,0.726,36,7,1.14,0.78,36,2,346,232,9,38,243,1913,"johnswa01","yes"
